arquivo,funcoes,cc_media,cc_max,cc_soma,pior_rank,pior_classe,pior_funcao,pior_linha_ini
bot/constants.py,1,1.0,1,1,A,_DuckPond,channel_blacklist,346
bot/errors.py,4,1.0,1,4,A,LockedResourceError,__init__,19
bot/pagination.py,1,1.0,1,1,A,LinePaginator,paginate,18
bot/exts/backend/branding/__init__.py,1,1.0,1,1,A,,setup,5
bot/exts/backend/sync/__init__.py,1,1.0,1,1,A,,setup,4
bot/exts/filtering/_settings_types/validations/enabled.py,1,1.0,1,1,A,Enabled,triggers_on,17
bot/exts/info/codeblock/__init__.py,1,1.0,1,1,A,,setup,4
bot/exts/info/doc/_doc_item.py,1,1.0,1,1,A,DocItem,url,23
bot/exts/info/doc/__init__.py,1,1.0,1,1,A,,setup,14
bot/exts/moderation/infraction/_views.py,4,1.0,1,4,A,InfractionConfirmationView,__init__,12
bot/exts/recruitment/talentpool/__init__.py,1,1.0,1,1,A,,setup,4
bot/exts/utils/snekbox/__init__.py,1,1.0,1,1,A,,setup,9
bot/exts/backend/security.py,4,1.25,2,5,A,Security,check_on_guild,21
bot/exts/info/resources.py,4,1.25,2,5,A,Resources,resources_command,50
bot/exts/backend/logging.py,3,1.33,2,4,A,Logging,startup_greeting,20
bot/exts/filtering/_filters/extension.py,2,1.5,2,3,A,ExtensionFilter,process_input,19
bot/exts/filtering/_settings_types/actions/send_alert.py,2,1.5,2,3,A,SendAlert,union,19
bot/exts/help_channels/_stats.py,2,1.5,2,3,A,,report_complete_session,30
bot/exts/utils/bot.py,6,1.5,3,9,A,BotCog,echo_command,45
bot/exts/filtering/_filter_lists/token.py,5,1.6,4,8,A,TokensList,actions_for,46
bot/utils/helpers.py,4,1.75,3,7,A,,find_nth_occurrence,12
bot/utils/lock.py,8,1.75,6,14,B,,wrapper,80
bot/exts/filtering/_filters/filter.py,9,1.89,4,17,A,Filter,overrides,49
bot/exts/moderation/slowmode.py,12,1.92,8,23,B,Slowmode,set_slowmode,65
bot/bot.py,6,2.0,4,12,A,Bot,ping_services,37
bot/exts/filtering/_filters/token.py,2,2.0,2,4,A,TokenFilter,triggered_on,14
bot/exts/filtering/_filters/unique/everyone.py,1,2.0,2,2,A,EveryoneFilter,triggered_on,21
bot/exts/filtering/_filter_lists/unique.py,2,2.0,2,4,A,UniquesList,get_filter_type,22
bot/exts/help_channels/__init__.py,1,2.0,2,2,A,,setup,10
bot/exts/info/doc/_markdown.py,8,2.0,5,16,A,DocMarkdownConverter,convert_li,17
bot/utils/webhooks.py,1,2.0,2,2,A,,send_webhook,11
bot/exts/fun/off_topic_names.py,20,2.05,6,41,B,OffTopicNames,re_roll_command,169
bot/exts/info/doc/_batch_parser.py,11,2.18,5,24,A,BatchParser,get_markdown,97
bot/exts/moderation/watchchannels/bigbrother.py,9,2.22,9,20,B,BigBrother,apply_watch,78
bot/exts/filtering/_filter_lists/domain.py,4,2.25,6,9,B,DomainsList,actions_for,45
bot/exts/info/patreon.py,8,2.25,7,18,B,Patreon,send_current_supporters,70
bot/exts/info/stats.py,8,2.25,9,18,B,Stats,on_message,30
bot/exts/utils/snekbox/_io.py,8,2.25,5,18,A,,sizeof_fmt,27
bot/exts/moderation/infraction/superstarify.py,11,2.27,6,25,B,Superstarify,superstarify,108
bot/exts/moderation/modpings.py,14,2.29,10,32,B,ModPings,reschedule_roles,49
bot/exts/moderation/metabase.py,10,2.3,6,23,B,Metabase,metabase_extract,107
bot/exts/info/subscribe.py,13,2.31,5,30,A,SingleRoleButton,callback,84
bot/exts/backend/config_verifier.py,3,2.33,5,7,A,ConfigVerifier,cog_load,16
bot/exts/filtering/_settings_types/actions/ping.py,3,2.33,4,7,A,Ping,action,36
bot/exts/utils/ping.py,3,2.33,5,7,A,Latency,ping,26
bot/exts/info/doc/_redis_cache.py,8,2.38,6,19,B,DocRedisCache,set,31
bot/utils/function.py,7,2.43,6,17,B,,update_wrapper_globals,88
bot/decorators.py,18,2.44,16,44,C,,inner,132
bot/exts/moderation/alts.py,9,2.44,4,22,A,AlternateAccounts,alts_to_string,40
bot/exts/recruitment/talentpool/_api.py,9,2.44,5,22,A,NominationAPI,edit_nomination,85
bot/exts/filtering/_filters/unique/webhook.py,4,2.5,6,10,B,WebhookFilter,triggered_on,32
bot/exts/moderation/verification.py,6,2.5,4,15,A,Verification,on_member_join,75
bot/exts/moderation/infraction/infractions.py,37,2.51,11,93,C,Infractions,apply_ban,448
bot/exts/backend/branding/_cog.py,29,2.59,7,75,B,Branding,rotate_assets,172
bot/exts/info/pep.py,5,2.6,5,13,A,PythonEnhancementProposals,pep_command,75
bot/exts/filtering/_settings_types/settings_entry.py,6,2.67,7,16,B,SettingsEntry,create,44
bot/exts/filtering/_settings_types/validations/bypass_roles.py,3,2.67,4,8,A,RoleBypass,triggers_on,38
bot/exts/utils/reminders.py,36,2.72,10,98,B,Reminders,_can_modify,701
bot/exts/filtering/_filters/unique/discord_token.py,11,2.73,5,30,A,DiscordTokenFilter,find_token_in_message,144
bot/exts/moderation/defcon.py,19,2.79,9,53,B,Defcon,_update_threshold,229
bot/exts/help_channels/_cog.py,13,2.85,5,37,A,HelpForum,on_thread_update,123
