arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
bot/pagination.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/errors.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/log.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/resources.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/doc/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/codeblock/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/recruitment/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/recruitment/talentpool/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/fun/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/utils/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/utils/snekbox/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/utils/snekbox/_constants.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/backend/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/backend/sync/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/backend/branding/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_settings_types/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_settings_types/actions/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_settings_types/validations/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_settings_types/validations/enabled.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_filters/token.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_filters/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_filters/antispam/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_filters/unique/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_ui/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_filter_lists/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/filtering/_filter_lists/unique.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/moderation/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/moderation/infraction/_views.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/moderation/infraction/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/moderation/watchchannels/__init__.py,arquivo,,0,0,0,0,0,0,0,0,0,0,0,0
