arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
bot/decorators.py,funcao,in_whitelist,0,0,0,0,0,0,0,0,0,0,0,0
bot/decorators.py,funcao,not_in_blacklist,3,7,5,7,10,12,24.4064,39.8631,1.5,59.7947,3.3219,0.0133
bot/decorators.py,funcao,has_no_roles,0,0,0,0,0,0,0,0,0,0,0,0
bot/decorators.py,funcao,redirect_output,5,11,9,18,16,27,49.6634,108.0,4.0909,441.8182,24.5455,0.036
bot/decorators.py,funcao,respect_role_hierarchy,2,2,2,3,4,5,4.0,10.0,1.5,15.0,0.8333,0.0033
bot/decorators.py,funcao,mock_in_debug,0,0,0,0,0,0,0,0,0,0,0,0
bot/decorators.py,funcao,ensure_future_timestamp,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
bot/pagination.py,funcao,paginate,0,0,0,0,0,0,0,0,0,0,0,0
bot/bot.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
bot/bot.py,funcao,load_extension,0,0,0,0,0,0,0,0,0,0,0,0
bot/bot.py,funcao,ping_services,2,3,3,6,5,9,6.7549,20.8974,2.0,41.7947,2.3219,0.007
bot/bot.py,funcao,setup_hook,0,0,0,0,0,0,0,0,0,0,0,0
bot/bot.py,funcao,on_error,1,3,2,4,4,6,4.7549,12.0,0.6667,8.0,0.4444,0.004
bot/constants.py,funcao,channel_blacklist,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/errors.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
bot/converters.py,funcao,convert,3,5,3,5,8,8,16.3645,24.0,1.5,36.0,2.0,0.008
bot/converters.py,funcao,translate_name,0,0,0,0,0,0,0,0,0,0,0,0
bot/converters.py,funcao,_is_an_unambiguous_user_argument,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/__main__.py,funcao,_create_redis_session,0,0,0,0,0,0,0,0,0,0,0,0
bot/__main__.py,funcao,main,0,0,0,0,0,0,0,0,0,0,0,0
bot/log.py,funcao,setup,0,0,0,0,0,0,0,0,0,0,0,0
bot/log.py,funcao,setup_sentry,0,0,0,0,0,0,0,0,0,0,0,0
bot/log.py,funcao,_set_trace_loggers,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/tags.py,funcao,get_fuzzy_score,4,8,6,12,12,18,32.0,64.5293,3.0,193.588,10.7549,0.0215
bot/exts/info/tags.py,funcao,__str__,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/exts/info/tags.py,funcao,from_string,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/exts/info/tags.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/tags.py,funcao,embed,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/tags.py,funcao,accessible_by,3,4,3,5,7,8,12.7549,22.4588,1.875,42.1103,2.3395,0.0075
bot/exts/info/tags.py,funcao,on_cooldown_in,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/exts/info/tags.py,funcao,set_cooldown_for,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/exts/info/tags.py,funcao,_fuzzy_search,6,10,7,13,16,20,48.7291,80.0,3.9,312.0,17.3333,0.0267
bot/exts/info/tags.py,funcao,initialize_tags,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/exts/info/tags.py,funcao,_get_suggestions,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
bot/exts/info/tags.py,funcao,get_fuzzy_matches,4,10,6,12,14,18,41.2193,68.5324,2.4,164.4777,9.1377,0.0228
bot/exts/info/tags.py,funcao,get_tag_embed,6,13,10,18,19,28,63.6155,118.942,4.1538,494.0666,27.4481,0.0396
bot/exts/info/tags.py,funcao,accessible_tags,5,7,5,9,12,14,31.2611,50.1895,3.2143,161.3233,8.9624,0.0167
bot/exts/info/tags.py,funcao,accessible_tags_in_group,2,3,2,4,5,6,6.7549,13.9316,1.3333,18.5754,1.032,0.0046
bot/exts/info/tags.py,funcao,get_command_ctx,2,4,3,6,6,9,10.0,23.2647,1.5,34.897,1.9387,0.0078
bot/exts/info/tags.py,funcao,get_command,2,6,5,8,8,13,17.5098,39.0,1.3333,52.0,2.8889,0.013
bot/exts/info/tags.py,funcao,name_autocomplete,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
bot/exts/info/tags.py,funcao,setup,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/resources.py,funcao,to_kebabcase,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/resources.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
bot/exts/info/resources.py,funcao,resources_command,0,0,0,0,0,0,0,0,0,0,0,0
