arquivo,loc,lloc,sloc,comments,multi,blank,single_comments
bot/exts/__init__.py,0,0,0,0,0,0,0
bot/exts/info/__init__.py,0,0,0,0,0,0,0
bot/exts/recruitment/__init__.py,0,0,0,0,0,0,0
bot/exts/fun/__init__.py,0,0,0,0,0,0,0
bot/exts/utils/__init__.py,0,0,0,0,0,0,0
bot/exts/backend/__init__.py,0,0,0,0,0,0,0
bot/exts/filtering/__init__.py,0,0,0,0,0,0,0
bot/exts/filtering/_filters/__init__.py,0,0,0,0,0,0,0
bot/exts/filtering/_ui/__init__.py,0,0,0,0,0,0,0
bot/exts/moderation/__init__.py,0,0,0,0,0,0,0
bot/exts/moderation/infraction/__init__.py,0,0,0,0,0,0,0
bot/exts/moderation/watchchannels/__init__.py,0,0,0,0,0,0,0
bot/exts/help_channels/_caches.py,5,2,2,2,0,1,2
bot/exts/info/codeblock/__init__.py,8,5,4,1,0,2,2
bot/exts/recruitment/talentpool/__init__.py,8,5,4,0,0,3,1
bot/exts/backend/sync/__init__.py,8,5,4,1,0,2,2
bot/exts/backend/branding/__init__.py,7,5,4,0,0,2,1
bot/exts/filtering/_settings_types/actions/__init__.py,8,5,5,0,0,3,0
bot/exts/filtering/_settings_types/validations/__init__.py,8,5,5,0,0,3,0
bot/exts/filtering/_filters/antispam/__init__.py,9,7,6,0,0,3,0
bot/exts/filtering/_filters/unique/__init__.py,9,7,6,0,0,3,0
bot/exts/filtering/_filter_lists/__init__.py,9,7,6,0,0,3,0
bot/exts/filtering/_settings_types/__init__.py,9,5,7,0,0,2,0
bot/utils/__init__.py,8,2,7,0,0,1,0
bot/exts/utils/snekbox/__init__.py,13,9,8,1,0,3,2
bot/exts/info/doc/_doc_item.py,25,22,10,0,0,8,7
bot/exts/help_channels/__init__.py,15,11,10,0,0,4,1
bot/exts/info/doc/__init__.py,17,10,11,0,0,5,1
bot/exts/filtering/_settings_types/actions/send_alert.py,21,17,11,0,0,7,3
bot/exts/filtering/_settings_types/validations/filter_dm.py,20,16,11,1,0,7,2
bot/exts/filtering/_settings_types/validations/enabled.py,19,14,11,0,0,6,2
bot/exts/filtering/_filters/extension.py,27,14,11,0,8,7,1
bot/__init__.py,20,13,12,2,0,7,1
bot/exts/utils/snekbox/_constants.py,24,15,14,4,0,7,3
bot/exts/backend/security.py,30,21,17,2,0,9,4
bot/exts/filtering/_filters/unique/everyone.py,28,16,18,3,0,7,3
bot/exts/backend/config_verifier.py,37,20,20,0,4,11,2
bot/exts/filtering/_filters/token.py,35,23,20,0,4,9,2
bot/exts/moderation/infraction/_views.py,31,24,21,0,0,7,3
bot/utils/helpers.py,43,28,23,3,0,12,8
bot/utils/webhooks.py,33,11,23,0,4,6,0
bot/exts/filtering/_filter_lists/unique.py,39,26,24,0,5,8,2
bot/exts/help_channels/_stats.py,45,29,26,0,4,13,2
bot/errors.py,75,29,27,0,21,26,1
bot/exts/backend/logging.py,41,23,27,0,0,11,3
bot/exts/filtering/_filters/antispam/burst.py,41,33,27,0,0,11,3
bot/utils/channel.py,46,26,27,2,0,14,5
bot/exts/filtering/_settings_types/validations/bypass_roles.py,45,31,28,0,4,11,2
bot/exts/filtering/_filters/antispam/role_mentions.py,42,34,28,0,0,11,3
bot/exts/filtering/_filters/antispam/chars.py,43,34,28,0,0,12,3
bot/exts/filtering/_filters/antispam/attachments.py,43,34,28,0,0,12,3
bot/exts/filtering/_filters/antispam/duplicates.py,44,33,30,0,0,11,3
bot/exts/filtering/_settings_types/actions/ping.py,44,30,31,0,0,9,4
bot/exts/filtering/_filters/invite.py,54,36,33,0,8,12,1
bot/exts/info/resources.py,69,29,34,7,8,17,10
bot/exts/filtering/_filters/domain.py,62,39,35,1,9,15,3
bot/exts/filtering/_filters/antispam/emoji.py,53,38,35,2,0,13,5
bot/exts/filtering/_filters/antispam/links.py,52,42,36,0,0,13,3
bot/exts/utils/ping.py,65,42,39,3,4,15,7
bot/exts/filtering/_filters/unique/webhook.py,63,41,39,4,0,15,9
bot/exts/filtering/_filter_lists/domain.py,68,44,41,2,7,15,5
bot/exts/filtering/_filters/antispam/newlines.py,61,48,42,3,0,13,6
bot/pagination.py,61,11,44,0,9,8,0
bot/exts/info/doc/_markdown.py,67,53,44,3,0,13,10
bot/exts/filtering/_settings_types/settings_entry.py,87,56,45,4,13,20,9
bot/exts/filtering/_filter_lists/token.py,72,47,46,0,8,14,4
bot/exts/utils/bot.py,68,43,47,0,0,15,6
bot/bot.py,79,55,49,4,0,20,10
bot/exts/filtering/_filters/antispam/mentions.py,90,53,49,14,6,19,16
bot/log.py,80,42,51,0,8,19,2
bot/exts/moderation/dm_relay.py,79,49,53,4,0,18,8
bot/utils/modlog.py,69,35,53,2,0,13,3
bot/exts/filtering/_filters/filter.py,94,62,54,3,13,20,7
bot/exts/filtering/_settings_types/validations/channel_scope.py,82,45,57,1,9,15,1
bot/exts/utils/snekbox/_io.py,101,71,58,10,0,23,20
bot/exts/info/stats.py,94,64,60,3,0,23,11
bot/exts/filtering/_filter_context.py,84,82,64,25,0,12,8
bot/exts/info/pep.py,101,69,68,2,4,22,7
bot/exts/info/doc/_redis_cache.py,113,74,70,4,8,26,9
bot/exts/moderation/verification.py,132,60,70,16,12,31,19
bot/__main__.py,91,50,71,4,0,14,6
bot/exts/info/pypi.py,105,76,71,3,0,27,7
bot/utils/lock.py,135,70,77,6,22,28,8
bot/exts/filtering/_filter_lists/extension.py,116,64,78,11,7,22,9
bot/utils/function.py,148,60,85,2,28,30,5
bot/utils/checks.py,173,67,88,21,24,38,23
bot/exts/info/patreon.py,129,68,89,3,4,26,10
bot/exts/info/doc/_html.py,149,77,89,1,18,36,6
bot/exts/info/codeblock/_cog.py,188,93,94,5,47,38,9
bot/exts/info/doc/_inventory_parser.py,145,98,97,5,5,34,9
bot/exts/info/codeblock/_instructions.py,165,95,97,10,13,42,13
bot/exts/filtering/_settings_types/actions/remove_context.py,125,101,97,2,0,20,8
bot/exts/help_channels/_cog.py,159,111,100,4,10,33,16
bot/exts/utils/attachment_pastebin_uploader.py,166,92,104,13,11,33,18
bot/exts/utils/thread_bumper.py,162,107,106,4,10,33,13
bot/exts/info/source.py,148,107,107,1,4,30,7
bot/exts/moderation/watchchannels/bigbrother.py,174,95,108,3,26,35,5
bot/exts/recruitment/talentpool/_api.py,158,100,110,0,12,28,8
bot/exts/info/doc/_batch_parser.py,191,117,114,8,25,38,14
bot/exts/filtering/_filter_lists/invite.py,170,103,118,16,9,31,12
bot/exts/moderation/metabase.py,195,121,126,15,9,40,20
bot/utils/message_cache.py,208,142,126,7,22,41,19
bot/exts/utils/snekbox/_eval.py,185,137,129,8,4,33,19
bot/exts/backend/branding/_repository.py,278,157,132,27,52,78,16
bot/exts/filtering/_filter_lists/antispam.py,197,135,136,10,11,35,15
bot/exts/fun/duck_pond.py,216,132,137,23,10,38,31
bot/exts/moderation/slowmode.py,199,118,138,10,9,35,17
bot/exts/filtering/_filters/unique/discord_token.py,217,138,139,12,17,38,23
bot/exts/utils/extensions.py,235,152,140,7,23,57,15
bot/exts/backend/sync/_cog.py,201,128,140,7,6,38,17
bot/exts/filtering/_settings.py,229,145,142,6,27,46,14
bot/exts/moderation/alts.py,175,98,144,0,5,18,8
bot/exts/help_channels/_channel.py,224,126,146,16,8,47,23
bot/exts/info/codeblock/_parsing.py,251,125,147,27,22,58,24
bot/exts/backend/sync/_syncers.py,234,147,151,26,4,47,32
bot/exts/info/subscribe.py,246,139,170,5,15,48,13
bot/exts/info/doc/_parsing.py,262,162,171,23,25,46,20
bot/exts/moderation/stream.py,246,136,173,22,0,43,30
bot/exts/utils/internal.py,267,155,177,36,0,53,37
bot/exts/moderation/modpings.py,263,153,179,21,0,53,31
bot/utils/time.py,364,130,180,18,92,84,8
bot/exts/moderation/voice_gate.py,245,116,182,11,0,43,20
bot/decorators.py,305,152,184,2,52,63,6
bot/exts/moderation/infraction/superstarify.py,244,117,184,10,0,45,15
bot/exts/info/python_news.py,248,147,186,18,0,39,23
bot/exts/filtering/_settings_types/actions/infraction_and_notification.py,254,166,189,8,16,37,12
bot/exts/filtering/_utils.py,306,216,191,31,19,58,38
bot/exts/utils/utils.py,254,159,192,10,11,39,12
bot/exts/filtering/_filter_lists/filter_list.py,310,200,194,10,34,58,24
bot/utils/messages.py,287,140,207,8,24,48,8
bot/exts/filtering/_ui/filter_list.py,275,163,209,10,8,43,15
bot/exts/fun/off_topic_names.py,313,199,220,7,16,56,21
bot/converters.py,449,234,224,6,100,106,19
bot/exts/moderation/defcon.py,338,203,238,8,7,67,26
bot/exts/info/code_snippets.py,352,170,255,19,12,55,30
bot/exts/moderation/infraction/_utils.py,372,174,268,9,24,68,12
bot/exts/info/help.py,493,265,271,28,69,113,40
bot/exts/info/tags.py,385,233,274,17,4,74,33
bot/exts/moderation/watchchannels/_watchchannel.py,386,223,277,11,20,72,17
bot/exts/filtering/_ui/search.py,368,237,281,11,9,57,21
bot/exts/backend/error_handler.py,426,268,288,12,48,67,23
bot/exts/info/doc/_cog.py,455,256,296,22,57,74,28
bot/exts/backend/branding/_cog.py,660,334,309,48,137,173,41
bot/exts/moderation/silence.py,476,281,322,25,27,85,42
bot/exts/moderation/incidents.py,674,323,349,31,158,142,25
bot/exts/recruitment/talentpool/_review.py,557,308,355,37,50,111,41
bot/exts/filtering/_ui/filter.py,471,289,360,19,13,65,33
bot/exts/moderation/infraction/management.py,524,277,385,31,15,86,38
bot/exts/moderation/clean.py,669,322,403,42,88,123,55
bot/constants.py,672,566,424,28,9,209,30
bot/exts/moderation/infraction/_scheduler.py,632,312,442,43,46,99,45
bot/exts/utils/snekbox/_cog.py,659,338,463,36,34,117,45
bot/exts/moderation/infraction/infractions.py,683,335,465,37,40,128,50
bot/exts/info/information.py,710,438,488,39,23,144,55
bot/exts/filtering/_ui/ui.py,699,480,488,23,16,125,70
bot/exts/utils/reminders.py,754,394,492,42,63,131,68
bot/exts/moderation/modlog.py,904,471,659,44,16,176,53
bot/exts/recruitment/talentpool/_cog.py,950,513,668,12,74,172,36
bot/exts/filtering/filtering.py,1516,913,1124,77,91,190,111
TOTAL,30346,17595,19987,1469,2246,5908,2205
